Position,Decimal,Appearance
0x029C,668,ʜ
0x029D,669,ʝ
0x029E,670,ʞ
0x029F,671,ʟ
0x02A0,672,ʠ
0x02A1,673,ʡ
0x02A2,674,ʢ
0x02A3,675,ʣ
0x02A4,676,ʤ
0x02A5,677,ʥ
0x02A6,678,ʦ
0x02A7,679,ʧ
0x02A8,680,ʨ
0x02A9,681,ʩ
0x02AA,682,ʪ
0x02AB,683,ʫ
0x02AC,684,ʬ
0x02AD,685,ʭ
,,
0x02B0,688,ʰ
0x02B1,689,ʱ
0x02B2,690,ʲ
0x02B3,691,ʳ
0x02B4,692,ʴ
0x02B5,693,ʵ
0x02B6,694,ʶ
0x02B7,695,ʷ
0x02B8,696,ʸ
0x02B9,697,ʹ
0x02BA,698,ʺ
0x02BB,699,ʻ
0x02BC,700,ʼ
0x02BD,701,ʽ
0x02BE,702,ʾ
0x02BF,703,ʿ
0x02C0,704,ˀ
0x02C1,705,ˁ
0x02C2,706,˂
0x02C3,707,˃
0x02C4,708,˄
0x02C5,709,˅
0x02C6,710,ˆ
0x02C7,711,ˇ
0x02C8,712,ˈ
0x02C9,713,ˉ
0x02CA,714,ˊ
0x02CB,715,ˋ
0x02CC,716,ˌ
0x02CD,717,ˍ
0x02CE,718,ˎ
0x02CF,719,ˏ
0x02D0,720,ː
0x02D1,721,ˑ
0x02D2,722,˒
0x02D3,723,˓
0x02D4,724,˔
0x02D5,725,˕
0x02D6,726,˖
0x02D7,727,˗
0x02D8,728,˘
0x02D9,729,˙
0x02DA,730,˚
0x02DB,731,˛
0x02DC,732,˜
0x02DD,733,˝
0x02DE,734,˞
0x02DF,735,˟
0x02E0,736,ˠ
0x02E1,737,ˡ
0x02E2,738,ˢ
0x02E3,739,ˣ
0x02E4,740,ˤ
0x02E5,741,˥
0x02E6,742,˦
0x02E7,743,˧
0x02E8,744,˨
0x02E9,745,˩
0x02EA,746,˪
0x02EB,747,˫
0x02EC,748,ˬ
0x02ED,749,˭
0x02EE,750,ˮ
,,
0x0300,768,̀
0x0301,769,́
0x0302,770,̂
0x0303,771,̃
0x0304,772,̄
0x0305,773,̅
0x0306,774,̆
0x0307,775,̇
0x0308,776,̈
0x0309,777,̉
0x030A,778,̊
0x030B,779,̋
0x030C,780,̌
0x030D,781,̍
0x030E,782,̎
0x030F,783,̏
0x0310,784,̐
0x0311,785,̑
0x0312,786,̒
0x0313,787,̓
0x0314,788,̔
0x0315,789,̕
0x0316,790,̖
0x0317,791,̗
0x0318,792,̘
0x0319,793,̙
0x031A,794,̚
0x031B,795,̛
0x031C,796,̜
0x031D,797,̝
0x031E,798,̞
0x031F,799,̟
0x0320,800,̠
0x0321,801,̡
0x0322,802,̢
0x0323,803,̣
0x0324,804,̤
0x0325,805,̥
0x0326,806,̦
0x0327,807,̧
0x0328,808,̨
0x0329,809,̩
0x032A,810,̪
0x032B,811,̫
0x032C,812,̬
0x032D,813,̭
0x032E,814,̮
0x032F,815,̯
0x0330,816,̰
0x0331,817,̱
0x0332,818,̲
0x0333,819,̳
0x0334,820,̴
0x0335,821,̵
0x0336,822,̶
0x0337,823,̷
0x0338,824,̸
0x0339,825,̹
0x033A,826,̺
0x033B,827,̻
0x033C,828,̼
0x033D,829,̽
0x033E,830,̾
0x033F,831,̿
0x0340,832,̀
0x0341,833,́
0x0342,834,͂
0x0343,835,̓
0x0344,836,̈́
0x0345,837,ͅ
0x0346,838,͆
0x0347,839,͇
0x0348,840,͈
0x0349,841,͉
0x034A,842,͊
0x034B,843,͋
0x034C,844,͌
0x034D,845,͍
0x034E,846,͎
0x0360,864,͠
0x0361,865,͡
0x0362,866,͢
,,
0x0374,884,ʹ
0x0375,885,͵
0x037A,890,ͺ
0x037E,894,;
0x0384,900,΄
0x0385,901,΅
0x0386,902,Ά
0x0387,903,·
0x0388,904,Έ
0x0389,905,Ή
0x038A,906,Ί
0x038C,908,Ό
0x038E,910,Ύ
0x038F,911,Ώ
0x0390,912,ΐ
0x0391,913,Α
0x0392,914,Β
0x0393,915,Γ
0x0394,916,Δ
0x0395,917,Ε
0x0396,918,Ζ
0x0397,919,Η
0x0398,920,Θ
0x0399,921,Ι
0x039A,922,Κ
0x039B,923,Λ
0x039C,924,Μ
0x039D,925,Ν
0x039E,926,Ξ
0x039F,927,Ο
0x03A0,928,Π
0x03A1,929,Ρ
0x03A3,931,Σ
0x03A4,932,Τ
0x03A5,933,Υ
0x03A6,934,Φ
0x03A7,935,Χ
0x03A8,936,Ψ
0x03A9,937,Ω
0x03AA,938,Ϊ
0x03AB,939,Ϋ
0x03AC,940,ά
0x03AD,941,έ
0x03AE,942,ή
0x03AF,943,ί
0x03B0,944,ΰ
0x03B1,945,α
0x03B2,946,β
0x03B3,947,γ
0x03B4,948,δ
0x03B5,949,ε
0x03B6,950,ζ
0x03B7,951,η
0x03B8,952,θ
0x03B9,953,ι
0x03BA,954,κ
0x03BB,955,λ
0x03BC,956,μ
0x03BD,957,ν
0x03BE,958,ξ
0x03BF,959,ο
0x03C0,960,π
0x03C1,961,ρ
0x03C2,962,ς
0x03C3,963,σ
0x03C4,964,τ
0x03C5,965,υ
0x03C6,966,φ
0x03C7,967,χ
0x03C8,968,ψ
0x03C9,969,ω
0x03CA,970,ϊ
0x03CB,971,ϋ
0x03CC,972,ό
0x03CD,973,ύ
0x03CE,974,ώ
0x03D0,976,ϐ
0x03D1,977,ϑ
0x03D2,978,ϒ
0x03D3,979,ϓ
0x03D4,980,ϔ
0x03D5,981,ϕ
0x03D6,982,ϖ
0x03D7,983,ϗ
0x03DA,986,Ϛ
0x03DB,987,ϛ
0x03DC,988,Ϝ
0x03DD,989,ϝ
0x03DE,990,Ϟ
0x03DF,991,ϟ
0x03E0,992,Ϡ
0x03E1,993,ϡ
0x03E2,994,Ϣ
0x03E3,995,ϣ
0x03E4,996,Ϥ
0x03E5,997,ϥ
0x03E6,998,Ϧ
0x03E7,999,ϧ
0x03E8,1000,Ϩ
0x03E9,1001,ϩ
0x03EA,1002,Ϫ
0x03EB,1003,ϫ
0x03EC,1004,Ϭ
0x03ED,1005,ϭ
0x03EE,1006,Ϯ
0x03EF,1007,ϯ
0x03F0,1008,ϰ
0x03F1,1009,ϱ
0x03F2,1010,ϲ
0x03F3,1011,ϳ
,,
0x0400,1024,Ѐ
0x0401,1025,Ё
0x0402,1026,Ђ
0x0403,1027,Ѓ
0x0404,1028,Є
0x0405,1029,Ѕ
0x0406,1030,І
0x0407,1031,Ї
0x0408,1032,Ј
0x0409,1033,Љ
0x040A,1034,Њ
0x040B,1035,Ћ
0x040C,1036,Ќ
0x040D,1037,Ѝ
0x040E,1038,Ў
0x040F,1039,Џ
0x0410,1040,А
0x0411,1041,Б
0x0412,1042,В
0x0413,1043,Г
0x0414,1044,Д
0x0415,1045,Е
0x0416,1046,Ж
0x0417,1047,З
0x0418,1048,И
0x0419,1049,Й
0x041A,1050,К
0x041B,1051,Л
0x041C,1052,М
0x041D,1053,Н
0x041E,1054,О
